14.1,13.8,8.5,18.2,20.3,7.6,13.2,8.7,20.2,15.5,
14.1,10.5,22.8,21.9,13.1,15.8,15.1,14.1,13.4,13.6,
12.7,20.4,7.5,19.8,16.4,15.3,17.4,15.2,12.6,17.1,
12.3,19.5,14.3,19.4,7.4,13.0,19.8,22.5,17.2,20.3,
1.2,14.1,10.3,17.4,22.3,10.6,4.2,11.9,17.9,11.5,
13.2,16.1,12.2,13.9,14.9,17.4,4.3,26.0,16.1,16.7,
14.0,6.0,19.0,19.4,14.9,20.1,8.8,18.0,18.1,11.8,
7.1,13.4,8.5,8.1,12.8,12.0,15.5,16.9,5.7,9.1,
19.9,13.2,12.0,11.4,10.6,13.8,11.0,20.2,5.5,20.3,
12.0,10.6,17.4,10.1,8.9,8.3,22.3,12.0,7.3,12.1,
